sequence,time,latitude,logitude,altitude,utm_easting,utm_northing,zone_num,zone_letter
369,1644175696,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
370,1644175697,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
371,1644175698,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
372,1644175699,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
373,1644175700,42.33918762207031,-71.08480834960938,-2.799999952316284,328257.21875,4689542.0,19,T
374,1644175701,42.33918762207031,-71.08480834960938,-2.799999952316284,328257.21875,4689542.0,19,T
375,1644175702,42.33918762207031,-71.08480834960938,-2.799999952316284,328257.21875,4689542.0,19,T
376,1644175703,42.33918762207031,-71.08480834960938,-2.799999952316284,328257.21875,4689542.0,19,T
377,1644175704,42.33918762207031,-71.08480834960938,-2.799999952316284,328257.21875,4689542.0,19,T
378,1644175705,42.33918762207031,-71.08480834960938,-2.799999952316284,328257.21875,4689542.0,19,T
379,1644175706,42.33918762207031,-71.08480834960938,-2.799999952316284,328257.21875,4689542.0,19,T
380,1644175707,42.33918762207031,-71.08480834960938,-2.799999952316284,328257.21875,4689542.0,19,T
381,1644175708,42.33918762207031,-71.08480834960938,-2.799999952316284,328257.21875,4689542.0,19,T
382,1644175709,42.33918762207031,-71.08480834960938,-2.799999952316284,328257.21875,4689542.0,19,T
383,1644175710,42.33918762207031,-71.08480834960938,-2.799999952316284,328257.21875,4689542.0,19,T
384,1644175711,42.33918762207031,-71.08480834960938,-2.799999952316284,328257.21875,4689542.0,19,T
385,1644175712,42.33918762207031,-71.08480834960938,-2.799999952316284,328257.21875,4689542.0,19,T
386,1644175713,42.33918762207031,-71.08480834960938,-2.799999952316284,328257.21875,4689542.0,19,T
387,1644175714,42.33918762207031,-71.08480834960938,-2.799999952316284,328257.21875,4689542.0,19,T
388,1644175715,42.33918762207031,-71.08480834960938,-2.799999952316284,328257.21875,4689542.0,19,T
389,1644175716,42.33918762207031,-71.08480834960938,-2.799999952316284,328257.21875,4689542.0,19,T
390,1644175717,42.33918762207031,-71.08480834960938,-2.799999952316284,328257.21875,4689542.0,19,T
391,1644175718,42.33918762207031,-71.08480834960938,-2.799999952316284,328257.21875,4689542.0,19,T
392,1644175719,42.33918762207031,-71.08480834960938,-2.799999952316284,328257.21875,4689542.0,19,T
393,1644175720,42.33918762207031,-71.08480834960938,-2.799999952316284,328257.21875,4689542.0,19,T
394,1644175721,42.33918762207031,-71.08480834960938,-2.299999952316284,328257.375,4689542.0,19,T
395,1644175722,42.33918762207031,-71.08480834960938,-2.299999952316284,328257.375,4689542.0,19,T
396,1644175723,42.33918762207031,-71.08480834960938,-2.299999952316284,328257.375,4689542.0,19,T
397,1644175724,42.33918762207031,-71.08480834960938,-2.299999952316284,328257.375,4689542.0,19,T
398,1644175725,42.33918762207031,-71.08480834960938,-2.299999952316284,328257.375,4689542.0,19,T
399,1644175726,42.33918762207031,-71.08480834960938,-2.299999952316284,328257.375,4689542.0,19,T
400,1644175727,42.33918762207031,-71.08480834960938,-2.299999952316284,328257.375,4689542.0,19,T
401,1644175728,42.33918762207031,-71.08480834960938,-2.299999952316284,328257.375,4689542.0,19,T
402,1644175729,42.33918762207031,-71.08480834960938,-2.299999952316284,328257.375,4689542.0,19,T
403,1644175730,42.33918762207031,-71.08480834960938,-2.299999952316284,328257.375,4689542.0,19,T
404,1644175731,42.33918762207031,-71.08480834960938,-2.299999952316284,328257.375,4689542.0,19,T
405,1644175732,42.33918762207031,-71.08480834960938,-2.299999952316284,328257.375,4689542.0,19,T
406,1644175733,42.33918762207031,-71.08480834960938,-2.299999952316284,328257.375,4689542.0,19,T
407,1644175734,42.33918762207031,-71.08480834960938,-2.299999952316284,328257.375,4689542.0,19,T
408,1644175735,42.33918762207031,-71.08480834960938,-2.299999952316284,328257.375,4689542.0,19,T
409,1644175736,42.33918762207031,-71.08480834960938,-2.299999952316284,328257.375,4689542.0,19,T
410,1644175737,42.33918762207031,-71.08480834960938,-2.299999952316284,328257.375,4689542.0,19,T
411,1644175738,42.33918762207031,-71.08480834960938,-2.299999952316284,328257.375,4689542.0,19,T
412,1644175739,42.33918762207031,-71.08480834960938,-2.299999952316284,328257.375,4689542.0,19,T
413,1644175740,42.33918762207031,-71.08480834960938,-2.299999952316284,328257.375,4689542.0,19,T
414,1644175741,42.33918762207031,-71.0848159790039,-1.899999976158142,328257.09375,4689542.0,19,T
415,1644175742,42.33918762207031,-71.0848159790039,-1.899999976158142,328257.09375,4689542.0,19,T
416,1644175743,42.33918762207031,-71.0848159790039,-1.899999976158142,328257.09375,4689542.0,19,T
417,1644175744,42.33918762207031,-71.0848159790039,-1.899999976158142,328257.09375,4689542.0,19,T
418,1644175745,42.33918762207031,-71.0848159790039,-1.899999976158142,328257.09375,4689542.0,19,T
419,1644175746,42.33918762207031,-71.0848159790039,-1.899999976158142,328257.09375,4689542.0,19,T
420,1644175747,42.33918762207031,-71.0848159790039,-1.899999976158142,328257.09375,4689542.0,19,T
421,1644175748,42.33918762207031,-71.0848159790039,-1.899999976158142,328257.09375,4689542.0,19,T
422,1644175749,42.33918762207031,-71.0848159790039,-1.899999976158142,328257.09375,4689542.0,19,T
423,1644175750,42.33918762207031,-71.0848159790039,-1.899999976158142,328257.09375,4689542.0,19,T
424,1644175751,42.33918762207031,-71.0848159790039,-1.899999976158142,328257.09375,4689542.0,19,T
425,1644175752,42.33918762207031,-71.0848159790039,-1.899999976158142,328257.09375,4689542.0,19,T
426,1644175753,42.33918762207031,-71.0848159790039,-1.899999976158142,328257.09375,4689542.0,19,T
427,1644175754,42.33918762207031,-71.0848159790039,-1.899999976158142,328257.09375,4689542.0,19,T
428,1644175755,42.33918762207031,-71.0848159790039,-1.899999976158142,328257.09375,4689542.0,19,T
429,1644175756,42.33918762207031,-71.0848159790039,-1.899999976158142,328257.09375,4689542.0,19,T
430,1644175757,42.33918762207031,-71.0848159790039,-1.899999976158142,328257.09375,4689542.0,19,T
431,1644175758,42.33918762207031,-71.0848159790039,-1.7999999523162842,328257.09375,4689542.0,19,T
432,1644175759,42.33918762207031,-71.0848159790039,-1.7999999523162842,328257.09375,4689542.0,19,T
433,1644175760,42.33918762207031,-71.0848159790039,-1.7999999523162842,328257.09375,4689542.0,19,T
434,1644175761,42.33918762207031,-71.0848159790039,-1.7999999523162842,328257.09375,4689542.0,19,T
435,1644175762,42.33918762207031,-71.0848159790039,-1.7999999523162842,328257.09375,4689542.0,19,T
436,1644175763,42.33918762207031,-71.0848159790039,-1.7999999523162842,328257.09375,4689542.0,19,T
437,1644175764,42.33918762207031,-71.0848159790039,-1.7999999523162842,328257.09375,4689542.0,19,T
438,1644175765,42.33918762207031,-71.0848159790039,-1.5,328256.9375,4689542.0,19,T
439,1644175766,42.33918762207031,-71.0848159790039,-1.399999976158142,328256.9375,4689542.0,19,T
440,1644175767,42.33918762207031,-71.0848159790039,-1.399999976158142,328256.9375,4689542.0,19,T
441,1644175768,42.33918762207031,-71.0848159790039,-1.399999976158142,328256.9375,4689542.0,19,T
442,1644175769,42.33918762207031,-71.0848159790039,-1.399999976158142,328256.9375,4689542.0,19,T
443,1644175770,42.33918762207031,-71.0848159790039,-1.399999976158142,328256.9375,4689542.0,19,T
444,1644175771,42.33918762207031,-71.0848159790039,-1.399999976158142,328256.9375,4689542.0,19,T
445,1644175772,42.33918762207031,-71.0848159790039,-1.399999976158142,328256.9375,4689542.0,19,T
446,1644175773,42.33918762207031,-71.0848159790039,-1.399999976158142,328256.9375,4689542.0,19,T
447,1644175774,42.33918762207031,-71.0848159790039,-1.399999976158142,328256.9375,4689542.0,19,T
448,1644175775,42.33918762207031,-71.0848159790039,-1.399999976158142,328256.9375,4689542.0,19,T
449,1644175776,42.33918762207031,-71.0848159790039,-1.399999976158142,328256.9375,4689542.0,19,T
450,1644175777,42.33918762207031,-71.0848159790039,-1.399999976158142,328256.9375,4689542.0,19,T
451,1644175778,42.33918762207031,-71.0848159790039,-1.2999999523162842,328256.8125,4689542.0,19,T
452,1644175779,42.33918762207031,-71.0848159790039,-1.2999999523162842,328256.8125,4689542.0,19,T
453,1644175780,42.33918762207031,-71.0848159790039,-1.2999999523162842,328256.8125,4689542.0,19,T
454,1644175781,42.33918762207031,-71.0848159790039,-1.2999999523162842,328256.8125,4689542.0,19,T
455,1644175782,42.33918762207031,-71.0848159790039,-1.2999999523162842,328256.8125,4689542.0,19,T
456,1644175783,42.33918762207031,-71.0848159790039,-1.2999999523162842,328256.8125,4689542.0,19,T
457,1644175784,42.33918762207031,-71.0848159790039,-1.2999999523162842,328256.8125,4689542.0,19,T
458,1644175785,42.33918762207031,-71.0848159790039,-1.2999999523162842,328256.8125,4689542.0,19,T
459,1644175786,42.33918762207031,-71.0848159790039,-1.2999999523162842,328256.8125,4689542.0,19,T
460,1644175787,42.33918762207031,-71.0848159790039,-1.2999999523162842,328256.8125,4689542.0,19,T
461,1644175788,42.33918762207031,-71.0848159790039,-1.2999999523162842,328256.8125,4689542.0,19,T
462,1644175789,42.33918762207031,-71.0848159790039,-1.2999999523162842,328256.8125,4689542.0,19,T
463,1644175790,42.33918762207031,-71.0848159790039,-1.2999999523162842,328256.8125,4689542.0,19,T
464,1644175791,42.33918762207031,-71.0848159790039,-1.2999999523162842,328256.8125,4689542.0,19,T
465,1644175792,42.33918762207031,-71.0848159790039,-1.2999999523162842,328256.8125,4689542.0,19,T
466,1644175793,42.33918762207031,-71.0848159790039,-1.2999999523162842,328256.8125,4689542.0,19,T
467,1644175794,42.33918762207031,-71.0848159790039,-1.2999999523162842,328256.8125,4689542.0,19,T
468,1644175795,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
469,1644175796,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
470,1644175797,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
471,1644175798,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
472,1644175799,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
473,1644175800,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
474,1644175801,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
475,1644175802,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
476,1644175803,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
477,1644175804,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
478,1644175805,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
479,1644175806,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
480,1644175807,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
481,1644175808,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
482,1644175809,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
483,1644175810,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
484,1644175811,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
485,1644175812,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
486,1644175813,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
487,1644175814,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
488,1644175815,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
489,1644175816,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
490,1644175817,42.33918762207031,-71.0848159790039,-1.0,328256.9375,4689542.0,19,T
491,1644175818,42.33919143676758,-71.08480834960938,-1.7999999523162842,328257.25,4689542.0,19,T
492,1644175819,42.33919143676758,-71.08480834960938,-1.7999999523162842,328257.25,4689542.0,19,T
493,1644175820,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.0,19,T
494,1644175821,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.0,19,T
495,1644175822,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.0,19,T
496,1644175823,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.0,19,T
497,1644175824,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.0,19,T
498,1644175825,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.5,19,T
499,1644175826,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.5,19,T
500,1644175827,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.5,19,T
501,1644175828,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.5,19,T
502,1644175829,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.5,19,T
503,1644175830,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.5,19,T
504,1644175831,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.5,19,T
505,1644175832,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.5,19,T
506,1644175833,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.5,19,T
507,1644175834,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.5,19,T
508,1644175835,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.5,19,T
509,1644175836,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.5,19,T
510,1644175837,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.5,19,T
511,1644175838,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.5,19,T
512,1644175839,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.5,19,T
513,1644175840,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.0,19,T
514,1644175841,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.0,19,T
515,1644175842,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.0,19,T
516,1644175843,42.33919143676758,-71.08480834960938,-1.899999976158142,328257.25,4689542.0,19,T
517,1644175844,42.33919143676758,-71.08480834960938,-2.0,328257.25,4689542.0,19,T
518,1644175845,42.33919143676758,-71.08480834960938,-2.0,328257.25,4689542.0,19,T
519,1644175846,42.33919143676758,-71.08480834960938,-2.0,328257.25,4689542.0,19,T
520,1644175847,42.33919143676758,-71.08480834960938,-2.0,328257.25,4689542.0,19,T
521,1644175848,42.33919143676758,-71.08480834960938,-2.0,328257.25,4689542.0,19,T
522,1644175849,42.33919143676758,-71.08480834960938,-2.0,328257.25,4689542.0,19,T
523,1644175850,42.33919143676758,-71.08480834960938,-2.0,328257.25,4689542.0,19,T
524,1644175851,42.33919143676758,-71.08480834960938,-2.0,328257.25,4689542.0,19,T
525,1644175852,42.33919143676758,-71.08480834960938,-2.0,328257.25,4689542.0,19,T
526,1644175853,42.33919143676758,-71.08480834960938,-2.0,328257.25,4689542.0,19,T
527,1644175854,42.33919143676758,-71.08480834960938,-2.0,328257.25,4689542.0,19,T
528,1644175855,42.33919143676758,-71.08480834960938,-2.0,328257.25,4689542.0,19,T
529,1644175856,42.33919143676758,-71.08480834960938,-2.0,328257.25,4689542.0,19,T
530,1644175857,42.33919143676758,-71.08480834960938,-2.0,328257.25,4689542.0,19,T
531,1644175858,42.33919143676758,-71.08480834960938,-2.0,328257.25,4689542.0,19,T
532,1644175859,42.33919143676758,-71.08480834960938,-2.0999999046325684,328257.25,4689542.5,19,T
533,1644175860,42.33919143676758,-71.08480834960938,-2.0999999046325684,328257.25,4689542.5,19,T
