time,header,lat,lon,alt,u_e,u_n,zone,letter
1644349782281785008,"seq: 74
stamp: 
  secs: 1644349782
  nsecs: 280368089
frame_id: ''",42.3438166,-71.083973,15.7,328338.916775327,4690054.230206914,19,T
1644349783313788387,"seq: 75
stamp: 
  secs: 1644349783
  nsecs: 313600063
frame_id: ''",42.3438233,-71.083958,15.8,328340.17064230505,4690054.943905682,19,T
1644349784322866838,"seq: 76
stamp: 
  secs: 1644349784
  nsecs: 320268392
frame_id: ''",42.3438316,-71.083943,15.9,328341.4288636665,4690055.835272602,19,T
1644349785278812362,"seq: 77
stamp: 
  secs: 1644349785
  nsecs: 277410030
frame_id: ''",42.34384,-71.08393,16.0,328342.52260603145,4690056.741782006,19,T
1644349786278865824,"seq: 78
stamp: 
  secs: 1644349786
  nsecs: 277637720
frame_id: ''",42.3438483,-71.083918,16.0,328343.53370053985,4690057.6392063275,19,T
1644349787280454719,"seq: 79
stamp: 
  secs: 1644349787
  nsecs: 278456687
frame_id: ''",42.3438533,-71.083901,16.3,328344.94769050006,4690058.160095747,19,T
1644349788278167421,"seq: 80
stamp: 
  secs: 1644349788
  nsecs: 276608467
frame_id: ''",42.3438616,-71.083888,16.4,328346.0411598814,4690059.055501434,19,T
1644349789279152301,"seq: 81
stamp: 
  secs: 1644349789
  nsecs: 277943372
frame_id: ''",42.34387,-71.083876,16.4,328347.05252575903,4690059.96403049,19,T
1644349790278879564,"seq: 82
stamp: 
  secs: 1644349790
  nsecs: 277844905
frame_id: ''",42.3438783,-71.083865,16.4,328347.98124385055,4690060.863474389,19,T
1644349791318764974,"seq: 83
stamp: 
  secs: 1644349791
  nsecs: 317970514
frame_id: ''",42.3438883,-71.083855,16.3,328348.83221297106,4690061.953709521,19,T
1644349792278489992,"seq: 84
stamp: 
  secs: 1644349792
  nsecs: 277418613
frame_id: ''",42.3438983,-71.083846,16.1,328349.6008064888,4690063.045963681,19,T
1644349793318259161,"seq: 85
stamp: 
  secs: 1644349793
  nsecs: 316849470
frame_id: ''",42.3439083,-71.083835,16.0,328350.5341504398,4690064.134180079,19,T
1644349794278875676,"seq: 86
stamp: 
  secs: 1644349794
  nsecs: 277618408
frame_id: ''",42.3439166,-71.083824,15.8,328351.46286754805,4690065.033624415,19,T
1644349795278469401,"seq: 87
stamp: 
  secs: 1644349795
  nsecs: 277277708
frame_id: ''",42.3439266,-71.083813,15.7,328352.3962109568,4690066.121841048,19,T
1644349796277799189,"seq: 88
stamp: 
  secs: 1644349796
  nsecs: 276151657
frame_id: ''",42.3439366,-71.083803,15.6,328353.2471787868,4690067.212076684,19,T
1644349797278750334,"seq: 89
stamp: 
  secs: 1644349797
  nsecs: 277515411
frame_id: ''",42.3439466,-71.083793,15.4,328354.0981463621,4690068.302312423,19,T
1644349798280675492,"seq: 90
stamp: 
  secs: 1644349798
  nsecs: 278990268
frame_id: ''",42.343955,-71.083785,15.3,328354.7800088189,4690069.218918065,19,T
1644349799279078997,"seq: 91
stamp: 
  secs: 1644349799
  nsecs: 277900457
frame_id: ''",42.343965,-71.083775,15.2,328355.630975925,4690070.309153976,19,T
1644349800279657956,"seq: 92
stamp: 
  secs: 1644349800
  nsecs: 278390645
frame_id: ''",42.343975,-71.083765,15.1,328356.4819427766,4690071.399389983,19,T
1644349801280169710,"seq: 93
stamp: 
  secs: 1644349801
  nsecs: 278858661
frame_id: ''",42.3439833,-71.083751,15.3,328357.6577838885,4690072.292778543,19,T
1644349802281931306,"seq: 94
stamp: 
  secs: 1644349802
  nsecs: 280889272
frame_id: ''",42.3439916,-71.08374,15.3,328358.5864990391,4690073.192223777,19,T
