sequence,time,latitude,logitude,altitude,utm_easting,utm_northing,zone_num,zone_letter
972,1644176299,42.3392219543457,-71.08502960205078,9.699999809265137,328239.0625,4689546.0,19,T
973,1644176300,42.339229583740234,-71.08504486083984,9.5,328238.25,4689547.0,19,T
974,1644176301,42.339237213134766,-71.08505249023438,9.399999618530273,328237.71875,4689548.0,19,T
975,1644176302,42.3392448425293,-71.0850601196289,9.300000190734863,328236.90625,4689548.5,19,T
976,1644176303,42.33925247192383,-71.08506774902344,9.300000190734863,328236.125,4689549.5,19,T
977,1644176304,42.33926010131836,-71.0850830078125,9.300000190734863,328235.3125,4689550.5,19,T
978,1644176305,42.339263916015625,-71.08509063720703,9.300000190734863,328234.5,4689551.0,19,T
979,1644176306,42.339271545410156,-71.08509826660156,9.199999809265137,328233.5625,4689552.0,19,T
980,1644176307,42.33927917480469,-71.08511352539062,9.199999809265137,328232.75,4689553.0,19,T
981,1644176308,42.33928680419922,-71.08512115478516,9.199999809265137,328231.96875,4689553.5,19,T
982,1644176309,42.33929443359375,-71.08512878417969,9.199999809265137,328231.15625,4689554.5,19,T
983,1644176310,42.33930206298828,-71.08514404296875,9.199999809265137,328230.21875,4689555.0,19,T
984,1644176311,42.33930969238281,-71.08515167236328,9.199999809265137,328229.28125,4689556.0,19,T
985,1644176312,42.339317321777344,-71.08516693115234,9.199999809265137,328228.46875,4689557.0,19,T
986,1644176313,42.339324951171875,-71.08517456054688,9.199999809265137,328227.53125,4689558.0,19,T
987,1644176314,42.339332580566406,-71.08518981933594,9.199999809265137,328226.71875,4689558.5,19,T
988,1644176315,42.33934020996094,-71.08519744873047,9.100000381469727,328225.78125,4689559.5,19,T
989,1644176316,42.33934783935547,-71.08521270751953,9.100000381469727,328224.84375,4689560.5,19,T
990,1644176317,42.339351654052734,-71.08522033691406,9.100000381469727,328223.75,4689561.0,19,T
991,1644176318,42.339359283447266,-71.08523559570312,9.100000381469727,328222.8125,4689562.0,19,T
992,1644176319,42.3393669128418,-71.08524322509766,9.100000381469727,328222.03125,4689562.5,19,T
993,1644176320,42.33937454223633,-71.08525848388672,9.100000381469727,328221.09375,4689563.5,19,T
994,1644176321,42.33938217163086,-71.08526611328125,9.100000381469727,328220.28125,4689564.5,19,T
995,1644176322,42.33938980102539,-71.08527374267578,9.100000381469727,328219.46875,4689565.5,19,T
996,1644176323,42.33939743041992,-71.08528900146484,9.0,328218.53125,4689566.0,19,T
997,1644176324,42.33940505981445,-71.08529663085938,9.0,328217.59375,4689567.0,19,T
998,1644176325,42.33940887451172,-71.08531188964844,9.0,328216.78125,4689567.5,19,T
999,1644176326,42.33941650390625,-71.08531951904297,9.0,328215.96875,4689568.5,19,T
1000,1644176327,42.33942413330078,-71.0853271484375,8.899999618530273,328215.1875,4689569.5,19,T
1001,1644176328,42.33943176269531,-71.08534240722656,8.899999618530273,328214.375,4689570.0,19,T
1002,1644176329,42.339439392089844,-71.0853500366211,9.0,328213.6875,4689571.0,19,T
1003,1644176330,42.33944320678711,-71.08535766601562,8.899999618530273,328213.03125,4689571.5,19,T
1004,1644176331,42.339447021484375,-71.08536529541016,8.899999618530273,328212.625,4689572.0,19,T
1005,1644176332,42.339447021484375,-71.08536529541016,9.0,328212.5,4689572.0,19,T
1006,1644176333,42.339447021484375,-71.08536529541016,8.899999618530273,328212.5,4689572.0,19,T
1007,1644176334,42.339447021484375,-71.08536529541016,8.899999618530273,328212.5,4689572.0,19,T
1008,1644176335,42.339447021484375,-71.08536529541016,8.899999618530273,328212.5,4689572.0,19,T
1009,1644176336,42.339447021484375,-71.08536529541016,8.899999618530273,328212.5,4689572.0,19,T
1010,1644176337,42.339447021484375,-71.08536529541016,8.899999618530273,328212.5,4689572.0,19,T
1011,1644176338,42.339447021484375,-71.08536529541016,8.899999618530273,328212.5,4689572.0,19,T
